Epoch,Train Loss,Validation Loss
1,0.04308016008297026,0.03650544876498835
2,0.03607491049285672,0.03559476915301043
3,0.03547012034965598,0.03547689817759521
4,0.03504699462313871,0.0349685606118795
5,0.034711925411857844,0.03461983630210737
6,0.03439548786207674,0.03434658208754072
7,0.03415933245082121,0.03419293199295473
8,0.03392956790824731,0.034458217149938394
9,0.0337293522513431,0.033836891507895296
10,0.03356918890551092,0.03396983949546648
11,0.033410815795622585,0.03348024782785808
12,0.03324636748231551,0.033661204904432925
13,0.03308956200517894,0.033372855756043464
14,0.032928965814807566,0.03344312818670595
15,0.03277353842693251,0.03344981368041407
16,0.03265353018498939,0.03342382080536552
17,0.03249809028229852,0.03314761166608241
18,0.032353197380108535,0.03315096666396355
19,0.032202135071446356,0.03328245375521165
20,0.032065426713026667,0.03330292329048328
